stance_coded	stance	message	cost	issue	_pkey	iter
2	neutral	Neutral	0.0004984999999999999	affirmative action	txt/1011079659.xml.txt	0
0	strongly_against	The author's stance on affirmative action is **strongly against**. The author criticizes the academic culture that promotes distant ancestral connections as proof of diversity commitment, stating that the emphasis should be on creating academic communities with a wide variety of experiences and perspectives rather than meeting ethnic quotas. The author argues that Elizabeth Warren's situation highlights the absurdity of such practices and emphasizes the need for a more serious approach to academic diversity.	0.0006625	affirmative action	txt/1014285656.xml.txt	0
0	strongly_against	The author of the text appears to be strongly against affirmative action. The text mentions how affirmative action challenged white working-class males at home and at work, and how it left them frightened and angry. It also discusses Reagan's critique of a government that was too intrusive, which included affirmative action as one of the issues that challenged certain groups of Americans.	0.000761	affirmative action	txt/1022742622.xml.txt	0
	None	The author's stance on affirmative action is not relevant to the text provided.	0.0005434999999999999	affirmative action	txt/1023015447.xml.txt	0
0	strongly_against	The author's stance on affirmative action is strongly against.	0.00017999999999999998	affirmative action	txt/1034256694.xml.txt	0
0	strongly_against	The author's stance on affirmative action in this text is strongly against.	0.00024199999999999997	affirmative action	txt/1099415355.xml.txt	0
	None	The author's stance on affirmative action is not relevant to the text provided.	0.000521	affirmative action	txt/1370789528.xml.txt	0
3	somewhat_in_favor	The author's stance on affirmative action is somewhat in favor.	0.0006814999999999999	affirmative action	txt/1372854272.xml.txt	0
	None	The author's stance on affirmative action is not explicitly mentioned in the text.	0.0006769999999999999	affirmative action	txt/1519805309.xml.txt	0
3	somewhat_in_favor	The author's stance on affirmative action is somewhat in favor.	0.000367	affirmative action	txt/1548604795.xml.txt	0
2	neutral	Neutral	0.0006915	affirmative action	txt/1652232593.xml.txt	0
